step,timestamp,coverage,known_cells,total_cells,cov_trace,pos_x,pos_y,altitude,frontier_count,nearest_frontier_dist,loop_closures,tracking_lost_events,new_cells,note
132,1776030394.6238713,0.2914,3409,11700,0.102471,-0.687,0.529,1.203,16,0.797,25,0,0,
133,1776030396.6302798,0.2914,3409,11700,0.102471,-0.683,0.486,1.223,16,0.767,25,0,0,
134,1776030398.63811,0.3049,3567,11700,0.073957,-0.739,0.509,1.232,19,0.744,26,0,158,
135,1776030400.6479766,0.308,3543,11505,0.065032,-0.711,0.392,1.194,18,1.021,26,0,0,
136,1776030402.6568916,0.308,3543,11505,0.065032,-0.8,0.264,1.214,18,0.874,26,0,0,
137,1776030404.6682422,0.2835,3529,12449,0.063997,-0.936,0.186,1.229,18,0.308,26,0,0,
138,1776030406.6768856,0.2699,3599,13334,0.066163,-1.021,0.126,1.235,18,0.205,26,0,70,
139,1776030408.686367,0.2699,3599,13334,0.066163,-0.921,0.069,1.239,18,0.288,26,0,0,
140,1776030410.6948164,0.2706,3592,13275,0.06559,-1.026,0.007,1.22,17,0.185,27,0,0,
141,1776030412.70208,0.271,3598,13275,0.069323,-1.176,0.121,1.186,17,0.085,27,0,6,
142,1776030414.7100792,0.2694,3608,13393,0.075188,-1.186,0.011,1.176,17,0.038,27,0,10,
143,1776030416.7192895,0.2694,3608,13393,0.075188,-1.112,-0.118,1.159,17,0.187,27,0,0,
144,1776030418.7292874,0.2706,3608,13334,0.067035,-1.1,-0.073,1.185,16,0.178,28,0,0,
145,1776030420.7395337,0.271,3613,13334,0.06713,-1.16,-0.062,1.196,19,0.411,28,0,5,
146,1776030422.7564738,0.271,3613,13334,0.06713,-1.065,-0.043,1.137,19,0.504,28,0,0,
147,1776030424.7637067,0.271,3613,13334,0.06713,-1.112,0.026,1.088,19,0.497,28,0,0,
148,1776030426.7701797,0.2633,3620,13747,0.070795,-1.182,0.101,1.121,19,0.491,28,0,7,
149,1776030428.787458,0.2471,3645,14750,0.073937,-1.361,0.231,1.154,19,0.508,28,0,25,
150,1776030430.795328,0.2471,3645,14750,0.073937,-1.527,0.312,1.138,19,0.456,28,0,0,
151,1776030432.8031752,0.2396,3661,15281,0.076472,-1.559,0.488,1.112,19,0.492,28,0,16,
152,1776030434.8205588,0.2407,3678,15281,0.078903,-1.498,0.543,1.092,19,0.573,28,0,17,
153,1776030436.8272276,0.2407,3678,15281,0.078903,-1.447,0.532,1.099,19,0.611,28,0,0,
154,1776030438.8343084,0.2407,3678,15281,0.078903,-1.517,0.509,1.103,19,0.539,28,0,0,
155,1776030440.840564,0.241,3683,15281,0.080044,-1.429,0.357,1.067,19,0.562,28,0,5,
156,1776030442.853444,0.241,3683,15281,0.080044,-1.42,0.307,1.034,19,0.561,28,0,0,
157,1776030444.8611238,0.2423,3703,15281,0.091995,-1.348,0.235,1.042,19,0.516,28,0,20,
158,1776030446.8712904,0.2423,3703,15281,0.082836,-1.4,0.101,1.11,19,0.372,29,0,0,
159,1776030448.881971,0.2423,3703,15281,0.082836,-1.22,0.03,1.135,19,0.414,29,0,0,
160,1776030450.894078,0.236,3667,15540,0.065778,-1.065,-0.125,1.113,17,0.22,30,0,0,
161,1776030452.9009328,0.2361,3669,15540,0.06143,-1.024,-0.25,1.116,17,0.294,31,0,2,
162,1776030454.9106078,0.2361,3669,15540,0.060217,-1.023,-0.234,1.112,17,0.288,31,0,0,
163,1776030456.9176495,0.2364,3674,15540,0.060217,-0.893,-0.286,1.136,17,0.428,31,0,5,
164,1776030458.9249902,0.2364,3674,15540,0.060217,-0.952,-0.06,1.119,17,0.337,31,0,0,
165,1776030460.9361992,0.2364,3674,15540,0.058647,-0.906,0.058,1.14,17,0.417,31,0,0,
166,1776030462.9454951,0.2362,3671,15540,0.058647,-0.773,0.179,1.17,20,0.59,32,0,0,
167,1776030464.9527452,0.2362,3671,15540,0.057649,-0.691,0.334,1.168,20,0.745,33,0,0,
168,1776030466.9610713,0.2366,3677,15540,0.061307,-0.654,0.433,1.158,20,0.835,34,0,6,
169,1776030468.9685876,0.2366,3677,15540,0.061307,-0.842,0.282,1.15,20,0.595,34,0,0,
170,1776030470.9760172,0.2363,3672,15540,0.059501,-0.974,0.168,1.155,20,0.421,35,0,0,
171,1776030472.9828763,0.2363,3672,15540,0.063859,-1.218,0.048,1.133,13,0.198,36,0,0,
172,1776030474.991146,0.2363,3672,15540,0.063859,-1.33,0.037,1.12,13,0.18,36,0,0,
173,1776030477.00111,0.2369,3681,15540,0.070329,-1.367,0.23,1.105,12,0.329,36,0,9,
174,1776030479.0085223,0.2369,3681,15540,0.075543,-1.472,0.354,1.145,12,0.393,37,0,0,
175,1776030481.0213099,0.2369,3681,15540,0.082484,-1.505,0.381,1.15,12,0.412,37,0,0,
176,1776030483.031979,0.2358,3665,15540,0.082484,-1.447,0.424,1.193,14,0.467,38,0,0,
177,1776030485.043878,0.2359,3666,15540,0.079985,-1.392,0.48,1.167,14,0.538,39,0,1,
178,1776030487.0561228,0.2359,3666,15540,0.076956,-1.285,0.463,1.167,14,0.567,39,0,0,
179,1776030489.0708153,0.2361,3669,15540,0.076956,-1.213,0.491,1.182,15,0.63,40,0,3,
180,1776030491.0820398,0.2361,3669,15540,0.078312,-1.17,0.585,1.167,15,0.732,41,0,0,
181,1776030493.0892828,0.2361,3669,15540,0.078356,-1.099,0.572,1.139,15,0.764,41,0,0,
182,1776030495.1037424,0.2361,3669,15540,0.078356,-1.172,0.605,1.107,15,0.748,41,0,0,
183,1776030497.1178098,0.2361,3669,15540,0.080258,-1.127,0.633,1.119,15,0.796,42,0,0,
184,1776030499.1254666,0.2361,3669,15540,0.080556,-1.135,0.766,1.094,15,0.905,43,0,0,
185,1776030501.1323671,0.2361,3669,15540,0.080556,-1.151,0.771,1.116,15,0.902,43,0,0,
